from_warehouse,to_warehouse,from_city,to_city,distance_km,cost_per_unit_inr
WH01,WH02,Delhi,Gurugram,33,0.735
WH01,WH03,Delhi,Ludhiana,386,8.489
WH01,WH04,Delhi,Jaipur,318,6.988
WH01,WH05,Delhi,Kanpur,528,11.606
WH01,WH06,Delhi,Lucknow,563,12.385
WH01,WH07,Delhi,Mumbai,1550,34.098
WH01,WH08,Delhi,Pune,1584,34.838
WH01,WH09,Delhi,Ahmedabad,1047,23.039
WH01,WH10,Delhi,Surat,1266,27.855
WH01,WH11,Delhi,Vadodara,1093,24.037
WH01,WH12,Delhi,Ankleshwar,1195,26.279
WH01,WH13,Delhi,Vapi,1370,30.131
WH01,WH14,Delhi,Nashik,1375,30.254
WH01,WH15,Delhi,Nagpur,1150,25.296
WH01,WH16,Delhi,Indore,903,19.876
WH01,WH17,Delhi,Bhopal,804,17.692
WH01,WH18,Delhi,Chennai,2370,52.147
WH01,WH19,Delhi,Bengaluru,2349,51.672
WH01,WH20,Delhi,Hyderabad,1695,37.285
WH01,WH21,Delhi,Coimbatore,2642,58.12
WH01,WH22,Delhi,Vijayawada,1879,41.331
WH01,WH23,Delhi,Visakhapatnam,1837,40.418
WH01,WH24,Delhi,Kochi,2808,61.768
WH01,WH25,Delhi,Hosur,2384,52.455
WH01,WH26,Delhi,Kolkata,1760,38.724
WH01,WH27,Delhi,Bhubaneswar,1715,37.726
WH01,WH28,Delhi,Patna,1152,25.345
WH01,WH29,Delhi,Jamshedpur,1496,32.908
WH01,WH30,Delhi,Guwahati,1970,43.346
WH02,WH01,Gurugram,Delhi,33,0.735
WH02,WH03,Gurugram,Ludhiana,397,8.733
WH02,WH04,Gurugram,Jaipur,285,6.264
WH02,WH05,Gurugram,Kanpur,534,11.741
WH02,WH06,Gurugram,Lucknow,575,12.642
WH02,WH07,Gurugram,Mumbai,1519,33.421
WH02,WH08,Gurugram,Pune,1554,34.194
WH02,WH09,Gurugram,Ahmedabad,1014,22.312
WH02,WH10,Gurugram,Surat,1234,27.153
WH02,WH11,Gurugram,Vadodara,1060,23.329
WH02,WH12,Gurugram,Ankleshwar,1163,25.576
WH02,WH13,Gurugram,Vapi,1338,29.44
WH02,WH14,Gurugram,Nashik,1345,29.592
WH02,WH15,Gurugram,Nagpur,1133,24.93
WH02,WH16,Gurugram,Indore,876,19.273
WH02,WH17,Gurugram,Bhopal,782,17.21
WH02,WH18,Gurugram,Chennai,2352,51.752
WH02,WH19,Gurugram,Bengaluru,2326,51.178
WH02,WH20,Gurugram,Hyderabad,1675,36.841
WH02,WH21,Gurugram,Coimbatore,2618,57.605
WH02,WH22,Gurugram,Vijayawada,1863,40.985
WH02,WH23,Gurugram,Visakhapatnam,1828,40.224
WH02,WH24,Gurugram,Kochi,2783,61.235
WH02,WH25,Gurugram,Hosur,2362,51.969
WH02,WH26,Gurugram,Kolkata,1771,38.953
WH02,WH27,Gurugram,Bhubaneswar,1716,37.75
WH02,WH28,Gurugram,Patna,1166,25.661
WH02,WH29,Gurugram,Jamshedpur,1503,33.075
WH02,WH30,Gurugram,Guwahati,1991,43.809
WH03,WH01,Ludhiana,Delhi,386,8.489
WH03,WH02,Ludhiana,Gurugram,397,8.733
WH03,WH04,Ludhiana,Jaipur,599,13.174
WH03,WH05,Ludhiana,Kanpur,891,19.596
WH03,WH06,Ludhiana,Lucknow,904,19.891
WH03,WH07,Ludhiana,Mumbai,1821,40.052
WH03,WH08,Ludhiana,Pune,1878,41.322
WH03,WH09,Ludhiana,Ahmedabad,1262,27.753
WH03,WH10,Ludhiana,Surat,1516,33.362
WH03,WH11,Ludhiana,Vadodara,1339,29.457
WH03,WH12,Ludhiana,Ankleshwar,1444,31.773
WH03,WH13,Ludhiana,Vapi,1630,35.864
WH03,WH14,Ludhiana,Nashik,1660,36.53
