warehouse_id,city,zone,city_tier,latitude,longitude,current_stock,avg_monthly_demand,days_of_stock_cover,expiry_days_remaining,unit_holding_cost_per_month_inr,_category
WH01,Delhi,North,Metro,28.6139,77.209,2317,539,129.0,154,5.5,surplus
WH02,Gurugram,North,Metro,28.4595,77.0266,1522,662,69.0,34,5.5,urgent_expiry_surplus
WH03,Ludhiana,North,Tier2,30.901,75.8573,363,158,68.9,358,2.8,surplus
WH04,Jaipur,North,Metro,26.9124,75.7873,378,947,12.0,285,5.5,deficit
WH05,Kanpur,North,Tier2,26.4499,80.3319,127,477,8.0,347,2.8,deficit
WH06,Lucknow,North,Metro,26.8467,80.9462,2400,750,96.0,213,5.5,surplus
WH07,Mumbai,West,Metro,19.076,72.8777,1467,629,70.0,29,5.5,urgent_expiry_surplus
WH08,Pune,West,Metro,18.5204,73.8567,718,798,27.0,196,5.5,balanced
WH09,Ahmedabad,West,Metro,23.0225,72.5714,766,442,52.0,194,5.5,balanced
WH10,Surat,West,Metro,21.1702,72.8311,1247,706,53.0,112,5.5,balanced
WH11,Vadodara,West,Tier2,22.3072,73.1812,156,784,6.0,109,2.8,deficit
WH12,Ankleshwar,West,Tier2,21.6266,72.999,109,409,8.0,123,2.8,deficit
WH13,Vapi,West,Tier2,20.3711,72.9047,729,243,90.0,25,2.8,urgent_expiry_surplus
WH14,Nashik,West,Tier2,19.9975,73.7898,1436,449,95.9,250,2.8,surplus
WH15,Nagpur,Central,Metro,21.1458,79.0882,548,433,38.0,66,5.5,balanced
WH16,Indore,Central,Metro,22.7196,75.8577,2267,553,123.0,167,5.5,surplus
WH17,Bhopal,Central,Tier2,23.2599,77.4126,418,392,32.0,152,2.8,balanced
WH18,Chennai,South,Metro,13.0827,80.2707,1783,743,72.0,23,5.5,urgent_expiry_surplus
WH19,Bengaluru,South,Metro,12.9716,77.5946,429,1432,9.0,125,5.5,deficit
WH20,Hyderabad,South,Metro,17.385,78.4867,569,610,28.0,295,5.5,balanced
WH21,Coimbatore,South,Tier2,11.0168,76.9558,183,459,12.0,129,2.8,deficit
WH22,Vijayawada,South,Tier2,16.5062,80.648,232,536,13.0,144,2.8,deficit
WH23,Visakhapatnam,South,Metro,17.6868,83.2185,3253,723,135.0,269,5.5,surplus
WH24,Kochi,South,Tier2,9.9312,76.2673,256,164,46.8,180,2.8,balanced
WH25,Hosur,South,Tier2,12.7409,77.8253,1118,329,101.9,35,2.8,urgent_expiry_surplus
WH26,Kolkata,East,Metro,22.5726,88.3639,2133,547,117.0,353,5.5,surplus
WH27,Bhubaneswar,East,Tier2,20.2961,85.8245,472,289,49.0,327,2.8,balanced
WH28,Patna,East,Metro,25.5941,85.1376,756,540,42.0,271,5.5,balanced
WH29,Jamshedpur,East,Tier2,22.8046,86.2029,312,132,70.9,352,2.8,surplus
WH30,Guwahati,Northeast,Tier2,26.1445,91.7362,153,511,9.0,324,2.8,deficit
